Index,Inclination Angle (deg),Right Ascension of Ascending Node (deg),Eccentricity,Argument of Perigee (deg),Mean Anomaly (deg),Mean Motion (revs/day),Orbit Type
4777,1.2303,260.6711,0.000272,230.6704,127.6695,1.002697,S4G
4782,3.6401,76.9132,0.000204,35.8347,216.3029,1.002708,S4J
4789,98.7201,195.9672,0.001011,77.5299,282.6998,14.202047,S42
4790,98.7085,197.4966,0.00101,45.2612,314.9362,14.209383,S42
4791,98.7157,195.6841,0.001075,65.1508,295.0777,14.203955,S42
4792,98.7089,197.5718,0.00103,44.2355,315.9637,14.209374,S42
4793,98.5388,235.9918,0.00982,210.8726,148.6664,14.384263,S42
4801,98.5829,262.5324,0.002176,338.4754,21.5498,14.280516,S42
4819,0.0069,346.6731,0.000263,112.8546,332.1338,1.002687,S4G
4830,98.5861,101.1695,0.035095,168.7266,192.2,13.529378,S42
4833,0.0363,239.0039,0.000472,214.3228,222.2966,1.002712,S4G
4846,82.9618,231.5244,0.200342,101.3381,281.8117,11.255456,S4A
4867,82.4693,119.2445,0.002234,3.5951,356.5288,12.450943,S45
4868,82.4697,118.4549,0.002266,7.2769,352.8638,12.454134,S45
4872,0.79,232.3016,0.000338,204.1662,169.847,1.002728,S4G
4873,0.0599,350.8216,0.000336,127.7472,225.9008,1.002714,S4G
4874,0.0642,354.7431,0.000318,113.1189,226.2211,1.00271,S4G
4887,0.0452,341.2099,0.000281,236.8552,75.9966,1.002691,S4G
4891,0.0248,42.8261,0.000179,63.6496,205.5717,1.002729,S4G
4898,98.7149,196.5911,0.001104,62.3005,297.9284,14.205867,S42
4900,25.5822,158.6694,0.001477,135.8162,224.3574,15.048542,S45
4901,82.4668,178.0377,0.000832,37.0491,323.1168,12.553752,S45
4909,98.4312,247.6564,0.000937,165.0243,195.1217,14.279894,S42
4910,98.449,251.7169,0.000982,178.2584,181.863,14.285325,S42
4913,54.3781,109.6901,0.010519,78.8687,282.3162,2.005578,S4A
4920,0.0163,111.1173,0.000256,338.0544,172.3662,1.002749,S4G
4927,0.0428,105.2554,0.000447,346.1282,199.0746,1.002699,S4G
4928,98.1642,207.3198,0.000604,48.7533,311.4177,14.344252,S42
4930,8.8774,60.6194,0.00061,166.5227,193.4741,1.003323,S4I
4952,0.7117,84.1683,7.3e-05,307.9137,251.4076,1.002694,S4G
4963,0.0316,272.6859,0.000233,188.771,210.0475,1.002722,S4G
4977,98.8789,152.6974,0.001002,283.9733,76.0326,14.174547,S42
5031,31.2451,144.45,0.598439,209.0969,97.3364,3.817221,S4K
5043,97.9925,69.0351,0.00122,138.4481,221.7651,14.628767,S42
5048,0.0129,28.998,0.000229,53.8659,208.7116,1.002716,S4G
5058,0.0304,65.7639,0.000153,59.0795,246.2268,1.002721,S4G
5063,0.0317,206.7296,0.000456,258.0625,128.0878,1.002734,S4G
5064,98.7513,262.4176,0.000315,70.4591,289.6927,14.21612,S42
5072,98.9229,251.8961,0.000347,130.8616,357.3768,14.008039,S42
5075,97.8675,17.5376,0.000153,76.4211,283.7174,14.821698,S42
5078,98.4313,281.3537,0.001288,184.9201,175.1875,14.456241,S42
5081,2.2389,334.3009,9.5e-05,187.7667,119.7151,1.002669,S4J
5085,51.6371,229.3059,0.000315,85.1621,19.5605,15.755171,S45
5087,54.8574,175.9892,0.004909,324.1411,35.5117,2.005608,S4A
5093,0.3538,82.9388,7e-05,54.2203,204.0245,1.002718,S4G
5108,97.9871,67.9954,0.001539,167.3036,192.8547,14.628949,S42
5109,17.7963,9.0939,0.180869,284.184,56.3607,1.015261,S4D
